Estado,Região,Renda Média,Anos Estudo 15+ ,População
Rondônia,Norte,"1,724",9.5,"1,746,227"
Acre,Norte,"1,250",9.5,"880,631"
Amazonas,Norte,"1,237",10.4,"4,281,209"
Roraima,Norte,"1,531",10.9,"716,793"
Pará,Norte,"1,322",9.6,"8,664,306"
Amapá,Norte,"1,530",10.5,"802,837"
Tocantins,Norte,"1,736",10,"1,587,339"
Maranhão,Nordeste,"1,079",9,"7,019,054"
Piauí,Nordeste,"1,351",9,"3,375,646"
Ceará,Nordeste,"1,202",9.2,"9,233,656"
Rio Grande do Norte,Nordeste,"1,552",9.5,"3,420,401"
Paraíba,Nordeste,"1,377",8.9,"4,145,040"
Pernambuco,Nordeste,"1,407",9.4,"9,539,029"
Alagoas,Nordeste,"1,318",8.9,"3,220,104"
Sergipe,Nordeste,"1,426",9.2,"2,291,077"
Bahia,Nordeste,"1,329",9.2,"14,850,513"
Minas Gerais,Sudeste,"1,952",10,"21,322,691"
Espírito Santo,Sudeste,"2,054",10.3,"3,973,697"
Rio de Janeiro,Sudeste,"2,431",11.2,"17,219,679"
São Paulo,Sudeste,"2,582",11,"45,973,194"
Paraná,Sul,"2,408",10.2,"11,824,665"
Santa Catarina,Sul,"2,552",10.6,"8,058,441"
Rio Grande do Sul,Sul,"2,526",10.5,"11,229,915"
Mato Grosso do Sul,Centro-Oeste,"2,114",10.4,"2,901,895"
Mato Grosso,Centro-Oeste,"2,245",10.4,"3,836,399"
Goiás,Centro-Oeste,"2,051",10.5,"7,350,483"
Distrito Federal,Centro-Oeste,"3,281",12,"2,982,818"
,,,,
"Fonte: IBGE — Tab. 7531 (renda), 7127 (anos de estudo, total de cores/raças), 6579 (população).",,,,